bruce_id,timestamp,transaction_id,merchant_id,hit_rules,rules_decision,override,engine_decision,final_decision,is_fraud_x,is_fraud_y,learning_label,B_listed,W_listed,rel_rules,h2o_score,bayesia_score,ml_label,sherlock_decision
27136254,2016-12-13 12:05:50,a8c1bf24-1c46-4f37-abe4-16477984fd9a,M098322,,,,accept,settlement,0,0,0,0,0,0,1.17,0.03,0,accept
27136302,2016-12-13 12:06:12,dd859bff-9375-46c6-8dd2-dfdfc8e4ab1d,M098322,,,,accept,settlement,0,0,0,0,0,0,3.33,2.38,0,accept
27137433,2016-12-13 12:12:53,1ae75963-57db-4869-94d3-99a5abecb51b,M098322,,,,accept,deny,0,5,2,0,0,0,0.92,1.16,0,accept
27140781,2016-12-13 12:33:31,af19ce70-7350-4e8c-9b9f-d8444517aff6,M098322,,,,accept,settlement,0,0,0,0,0,0,8.13,0.06,0,accept
27141075,2016-12-13 12:35:32,f57e9094-9048-4199-b0e0-48914e45223f,M098322,,,,accept,settlement,2,0,2,0,0,0,0.7,0.0,0,accept
27141801,2016-12-13 12:40:05,1ab2bf46-881c-428a-bdb7-d708e8cf57b8,M098322,,,,accept,settlement,2,0,2,0,0,0,0.87,0.04,0,accept
27142314,2016-12-13 12:42:58,c5fa2bd4-2888-4f9b-9bc3-1526f46155a6,M098322,,,,accept,settlement,0,0,0,0,0,0,0.49,0.0,0,accept
27143382,2016-12-13 12:49:03,267bccf7-9cce-4f27-b37d-a9befada5a8c,M098322,,,,accept,deny,0,5,2,0,0,0,49.38,127.78,0,accept
27144000,2016-12-13 12:52:45,ee6fca1f-a642-4044-951e-4b197a077807,M098322,,,,accept,settlement,0,0,0,0,0,0,0.29,0.1,0,accept
27147771,2016-12-13 13:14:12,8fecfd09-18be-4a7e-bb8f-eb141ce45172,M098322,,,,accept,deny,0,5,2,0,0,0,575.53,1.8,0,accept
27147876,2016-12-13 13:14:46,19e22d01-5c37-4d6a-983f-74b5a51c8caf,M098322,,,,accept,settlement,0,0,0,0,0,0,0.41,0.0,0,accept
27148245,2016-12-13 13:16:42,54401afa-a8c0-4821-8769-c332c70de1c2,M098322,,,,accept,deny,0,5,2,0,0,0,958.94,997.67,1,deny
27152313,2016-12-13 13:40:32,e7ab3c5f-3e9b-4c8b-815f-a921ffa85e11,M098322,,,,accept,settlement,0,0,0,0,0,0,1.12,0.0,0,accept
27154860,2016-12-13 13:55:18,97745d75-f021-4995-a3ae-f95599466681,M098322,,,,accept,settlement,0,0,0,0,0,0,844.37,873.41,0,accept
27158784,2016-12-13 14:16:40,3917fd42-5997-4b52-aab0-e61ccaf7efec,M098322,,,,accept,settlement,0,0,0,0,0,0,0.22,0.88,0,accept
27163329,2016-12-13 14:44:31,b1e03bc5-ae1d-4de1-a2c0-3084e0bf64f1,M098322,,,,accept,settlement,0,0,0,0,0,0,0.81,3.33,0,accept
27167304,2016-12-13 15:10:36,2f2538ce-30de-4d42-8708-566334ca026c,M098322,,,,accept,settlement,0,0,0,0,0,0,0.3,0.0,0,accept
27168066,2016-12-13 15:15:21,08e094d5-34d3-4141-b1d7-af4c7dd45c38,M098322,,,,accept,settlement,0,0,0,0,0,0,12.15,33.44,0,accept
27169059,2016-12-13 15:22:05,2fa561eb-948a-409a-a801-7971c1ecb083,M098322,,,,accept,settlement,0,0,0,0,0,0,1.38,4.22,0,accept
27172161,2016-12-13 15:44:35,b56d2bf1-1363-4a35-93f7-676b54f62410,M098322,,,,accept,settlement,0,0,0,0,0,0,14.56,113.03,0,accept
27173922,2016-12-13 15:58:30,c7d82212-780e-4fbb-9b7f-7798640939ef,M098322,,,,accept,settlement,0,0,0,0,0,0,5.11,108.77,0,accept
27177357,2016-12-13 16:27:11,c830cef6-e22c-4159-b880-9c975c38e992,M098322,,,,accept,settlement,0,0,0,0,0,0,3.04,101.38,0,accept
27178170,2016-12-13 16:34:30,3927f037-b897-406d-bf54-d1e1568414ff,M098322,,,,accept,settlement,0,0,0,0,0,0,2.65,26.16,0,accept
27178191,2016-12-13 16:34:38,5fc5ed49-2a5b-4f4d-a666-3a1c15318564,M098322,,,,accept,deny,0,5,2,0,0,0,7.42,0.3,0,accept
27178374,2016-12-13 16:36:15,98f6e669-9661-44c3-b250-5a44a34ff9ff,M098322,,,,accept,deny,0,5,2,0,0,0,185.16,928.96,0,accept
27178692,2016-12-13 16:39:16,f4ae3716-ffe7-433f-a474-50442fee771e,M098322,,,,accept,settlement,0,0,0,0,0,0,0.35,0.0,0,accept
27179391,2016-12-13 16:45:51,fa223205-3f73-42bd-b35a-2ad05dc21726,M098322,,,,accept,settlement,0,0,0,0,0,0,1.65,24.61,0,accept
27182379,2016-12-13 17:15:10,49c2068a-eefb-494e-838b-3bc812127aa0,M098322,,,,accept,deny,0,5,2,0,0,0,2.46,5.25,0,accept
27184107,2016-12-13 17:35:55,e7b3fc48-b108-4e9b-87df-749391a41ef1,M098322,,,,accept,settlement,0,0,0,0,0,0,1.45,0.0,0,accept
27189123,2016-12-13 20:19:14,326c5688-f96e-4361-91f5-e35d02ee6c6c,M098322,,,,accept,settlement,0,0,0,0,0,0,73.78,6.53,0,accept
27191949,2016-12-13 22:25:44,9d62aedb-e950-4031-9de4-3a6e3c14d0b5,M098322,SC0002818,deny,0,deny,None,3,5,1,0,0,0,989.54,990.41,1,deny
27192873,2016-12-13 22:44:06,3f3aeb81-6159-461c-b994-5c2e22aa5ef5,M098322,,,,accept,deny,0,3,1,0,0,0,828.19,121.78,0,accept
27192933,2016-12-13 22:45:01,cdb7c77b-a7c5-459c-b9f1-2bdf3ff3629e,M098322,,,,accept,deny,0,5,2,0,0,0,810.55,897.16,0,accept
27195753,2016-12-13 23:30:03,f8b63e68-7e7c-464f-9439-92f93e386fad,M098322,,,,accept,settlement,0,0,0,0,0,0,31.03,131.48,0,accept
27197250,2016-12-13 23:48:38,8e5d71c9-d113-4f8e-b5c4-dec6f5748387,M098322,,,,accept,settlement,0,0,0,0,0,0,10.71,0.18,0,accept
27197886,2016-12-13 23:56:35,da2ed534-f2b8-4037-ae58-11606e9fd7dd,M098322,,,,accept,settlement,0,0,0,0,0,0,1.26,0.0,0,accept
27197997,2016-12-13 23:58:02,b0006b59-4bd3-4bf5-8cb2-0da2b3a705db,M098322,,,,accept,settlement,0,0,0,0,0,0,1.2,0.11,0,accept
27198123,2016-12-13 23:59:29,f21778a3-2cc2-4a32-9d6d-97e1c80aba13,M098322,,,,accept,settlement,0,0,0,0,0,0,1.22,0.28,0,accept
27198321,2016-12-14 00:01:39,9d44db28-ea39-4614-bfea-5b3a086ce0bd,M098322,,,,accept,settlement,0,0,0,0,0,0,0.91,0.31,0,accept
27199467,2016-12-14 00:13:49,d339a284-417a-4b99-ba3c-d7f504809e51,M098322,,,,accept,settlement,0,0,0,0,0,0,6.39,75.65,0,accept
27202680,2016-12-14 00:45:19,824346b6-3b09-47a1-a319-7354e6e64ed7,M098322,,,,accept,settlement,0,0,0,0,0,0,4.78,1.29,0,accept
27204204,2016-12-14 00:58:03,e4fc3239-dee6-43ee-873a-73e0c475f3f5,M098322,,,,accept,settlement,0,0,0,0,0,0,1.26,0.15,0,accept
27208569,2016-12-14 01:30:11,fd69ea67-00af-4ac0-9c86-2343e3b41aa7,M098322,,,,accept,settlement,0,0,0,0,0,0,8.0,0.62,0,accept
27219060,2016-12-14 02:31:09,1b6425da-459a-4ecb-995f-4ce64ebd81ba,M098322,,,,accept,settlement,0,0,0,0,0,0,3.79,0.06,0,accept
27220743,2016-12-14 02:40:00,c0a46e8a-3728-47f1-ad1d-0ab99e44f656,M098322,,,,accept,deny,0,5,2,0,0,0,67.53,0.0,0,accept
27220998,2016-12-14 02:41:11,6cb58286-fe90-4a6c-9290-5493710c630a,M098322,,,,accept,settlement,0,0,0,0,0,0,4.07,173.18,0,accept
27227271,2016-12-14 03:09:16,88c362b8-3747-4f2b-b41e-1717054a1fcd,M098322,,,,accept,settlement,0,0,0,0,0,0,5.1,0.09,0,accept
27235077,2016-12-14 03:44:33,a711c2a0-94b4-4cf5-b6bc-5a11caff85a9,M098322,,,,accept,settlement,0,0,0,0,0,0,0.8,0.0,0,accept
27235425,2016-12-14 03:46:16,88089a20-1575-47b9-ba23-6d4cef22d37c,M098322,,,,accept,settlement,0,0,0,0,0,0,50.43,2.14,0,accept
27236820,2016-12-14 03:53:06,f1104dcb-49cf-42e7-a46f-39f33481b6fd,M098322,,,,accept,settlement,0,0,0,0,0,0,0.61,0.0,0,accept
27252882,2016-12-14 05:08:13,d722309f-f6ed-46ff-bfae-1e8806ce2cd3,M098322,,,,accept,settlement,0,0,0,0,0,0,1.26,0.01,0,accept
27253134,2016-12-14 05:09:31,80019993-67d6-4624-a0a7-945115350e38,M098322,,,,accept,settlement,0,0,0,0,0,0,2.57,0.34,0,accept
27256662,2016-12-14 05:27:09,4e376263-f690-4695-9697-5b360a787def,M098322,,,,accept,settlement,0,0,0,0,0,0,8.28,36.15,0,accept
27259953,2016-12-14 05:44:47,c32b6cdf-3a10-4cc3-851b-0beba274dba1,M098322,,,,accept,settlement,0,0,0,0,0,0,3.15,0.5,0,accept
