id,E_X_aic_ipctry_issue,E_X_trx_last,N_X_ip_ratio_den,N_X_n_deny_co,N_X_n_ina_issue_co,N_X_n_issue_co,N_X_n_trans_3d_co,N_X_ratio_acc_no_cb_co,N_X_ratio_deny_co,N_X_tot_amnt_3d_co,blacklist,whitelist,learning_label
16737132,0,1,0.1,37,1,6,13,0.025,0.925,3898214,0,0,1
16742997,1,1,1,1,0,1,1,0,1,2571000,0,0,1
16804089,1,1,0.129032258,91,18,1,0,0.09,0.91,0,0,0,1
1685299,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1689651,0,1,0.428571429,2,0,1,2,0,1,952800,0,0,1
16903656,0,1,0.219298246,12,1,1,3,0.25,0.75,1007592,0,0,1
16954692,1,2,0.269230769,8,2,1,3,0.804347826,0.173913043,18880815,0,0,1
16964685,1,1,0.243902439,6,3,1,4,0,0.545454545,154788,0,0,1
1699125,1,1,0.2,1,2,1,4,0.8,0.2,1971696,0,0,1
17013363,1,0,0,0,1,1,5,1,0,1250000,0,0,1
17014899,0,1,-888888888,1,0,1,0,0,1,0,0,0,1
1702267,1,1,-888888888,5,0,5,1,0,1,719950,0,0,1
17069523,0,1,0.7,3,0,1,3,0,1,1500000,0,0,1
1712681,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
17170887,0,3,0.27027027,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
17200032,0,0,0.173333333,11,11,1,8,0.8,0.11,29487900,0,0,1
1720847,1,3,0.091503268,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
17209992,1,1,0,1,0,1,1,0,1,1559000,0,0,1
17214939,1,1,0.2,2,3,1,0,0,1,0,0,0,1
17260857,0,3,0.193548387,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
1726335,0,0,-888888888,0,0,1,0,1,0,0,0,0,1
17284296,1,1,0.301587302,6,1,1,2,0.4,0.6,204000,0,0,1
17286075,0,1,0.569892473,10,2,1,1,0.3125,0.625,300440,0,0,1
17287302,1,1,0.213675214,24,3,1,6,0,1,2235720,0,0,1
1730079,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
17385636,1,1,-888888888,36,2,3,6,0.307692308,0.692307692,954000,0,0,1
17401,0,1,1,3,0,1,3,0,1,314400,0,0,1
1743307,1,1,0.083832335,16,13,1,1,0.058823529,0.941176471,4735000,0,0,1
17485641,1,1,0.143333333,4,5,1,2,0.772727273,0.181818182,315000,0,0,1
17490393,1,0,0.555555556,28,5,1,0,0.317073171,0.682926829,0,0,0,1
17492583,1,1,0.533333333,41,4,1,1,0.596153846,0.394230769,29500,0,0,1
17543244,1,1,0.384615385,26,5,1,7,0,1,2800000,0,0,1
17625192,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1763549,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
17692647,0,3,-888888888,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
1776545,0,0,0,0,2,2,0,1,0,0,0,0,1
17788272,0,3,0,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
17800077,0,1,0.217391304,9,1,1,1,0.4,0.6,179655,0,0,1
1781877,1,1,0.125,8,10,1,11,0.181818182,0.727272727,2149760,0,0,1
1782143,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
17827755,1,1,0.5,1,1,1,2,0.5,0.5,784000,0,0,1
17830644,1,0,0.1,2,3,1,0,0.5,0.5,0,0,0,1
1784671,0,0,-888888888,0,0,1,0,1,0,0,0,0,1
17890293,1,1,0.148148148,9,2,1,0,0.357142857,0.642857143,0,0,0,1
1796707,0,0,0,0,1,2,0,1,0,0,0,0,1
17969934,1,3,0.263157895,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
18029694,0,1,1,2,-999999999,-999999999,2,0,1,570000,0,0,1
18113112,0,3,0.217391304,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
18122118,0,1,1,26,0,15,3,0,1,439000,0,0,1
18161064,1,1,-888888888,10,0,1,1,0.333333333,0.666666667,488070,0,0,1
18169443,0,1,1,8,0,4,2,0,1,696000,0,0,1
1818282,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
18185223,0,1,0.25,1,0,1,1,0,1,687500,0,0,1
18195099,0,3,0.219178082,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
